method,episode,finished_filters,total_reward,invalid_actions,breakdowns,average_wip,demand_satisfaction
Centralized DQN,0,17,333.54999232292175,4,12,6.889999866485596,0.48571428656578064
Centralized DQN,1,16,358.94999861717224,6,11,4.730000019073486,0.5333333611488342
Centralized DQN,2,16,368.9000016450882,9,11,4.199999809265137,0.6153846383094788
Centralized DQN,3,17,330.65000224113464,6,12,5.190000057220459,0.5151515007019043
Centralized DQN,4,17,364.0499918460846,5,11,4.909999847412109,0.5
Centralized DQN,5,17,392.80000710487366,5,10,5.039999961853027,0.5483871102333069
Centralized DQN,6,15,314.0500067472458,16,9,3.930000066757202,0.75
Centralized DQN,7,17,411.9999967813492,4,10,5.260000228881836,0.7083333134651184
Centralized DQN,8,14,205.0499927997589,23,11,4.489999771118164,0.5600000023841858
Centralized DQN,9,15,291.95000541210175,16,7,4.070000171661377,0.5
Centralized DQN,10,15,231.69999384880066,15,11,5.079999923706055,0.5
Centralized DQN,11,14,217.9500060081482,19,11,4.389999866485596,0.5833333134651184
Centralized DQN,12,17,347.34998846054077,8,9,5.289999961853027,0.53125
Centralized DQN,13,16,423.05000072717667,6,5,4.849999904632568,1.0
Centralized DQN,14,17,364.75000166893005,6,6,5.010000228881836,0.53125
Centralized DQN,15,18,460.64999628067017,1,5,4.489999771118164,0.6428571343421936
Centralized DQN,16,15,183.9000072479248,15,6,6.860000133514404,0.46875
Centralized DQN,17,17,399.1999933719635,1,3,4.980000019073486,0.5862069129943848
Centralized DQN,18,17,417.0999960899353,4,6,5.440000057220459,0.7727272510528564
Centralized DQN,19,12,77.4999942779541,34,12,3.9800000190734863,0.5
Centralized DQN,20,12,121.8999969959259,19,11,5.71999979019165,0.4444444477558136
Centralized DQN,21,17,364.74999618530273,9,9,4.949999809265137,0.5862069129943848
Centralized DQN,22,18,458.70000529289246,1,9,4.900000095367432,0.7200000286102295
Centralized DQN,23,15,276.2500020265579,15,11,4.769999980926514,0.4838709533214569
Centralized DQN,24,17,380.95000660419464,6,5,4.570000171661377,0.6800000071525574
Centralized DQN,25,17,368.54999923706055,5,12,5.849999904632568,0.6071428656578064
Centralized DQN,26,16,333.7499964237213,11,8,4.409999847412109,0.5714285969734192
Centralized DQN,27,17,415.2000068426132,7,8,4.579999923706055,0.7727272510528564
Centralized DQN,28,15,244.59999895095825,16,12,4.539999961853027,0.5555555820465088
Centralized DQN,29,18,424.6000061035156,1,9,4.619999885559082,0.529411792755127
Centralized DQN,30,17,396.95000886917114,6,8,4.489999771118164,0.6538461446762085
Centralized DQN,31,17,372.7500011920929,7,11,5.309999942779541,0.6800000071525574
Centralized DQN,32,15,283.39999520778656,12,7,5.039999961853027,0.625
Centralized DQN,33,18,442.65000772476196,1,5,5.090000152587891,0.5806451439857483
Centralized DQN,34,17,389.0000138282776,2,8,4.800000190734863,0.5
Centralized DQN,35,17,383.9000074863434,5,13,4.78000020980835,0.5483871102333069
Centralized DQN,36,16,347.35000240802765,12,14,4.070000171661377,0.6399999856948853
Centralized DQN,37,17,385.3000090122223,5,6,4.579999923706055,0.6296296119689941
Centralized DQN,38,12,78.65000033378601,30,9,4.590000152587891,0.4615384638309479
Centralized DQN,39,14,149.59999704360962,22,8,4.71999979019165,0.4117647111415863
Centralized DQN,40,17,386.40000438690186,7,10,4.699999809265137,0.6296296119689941
Centralized DQN,41,18,478.09999549388885,0,5,4.460000038146973,0.7200000286102295
Centralized DQN,42,15,258.8500020503998,19,8,3.930000066757202,0.5555555820465088
Centralized DQN,43,16,288.900000333786,12,12,5.420000076293945,0.5333333611488342
Centralized DQN,44,15,279.00000524520874,15,10,5.440000057220459,0.625
Centralized DQN,45,15,288.7000027894974,12,11,4.800000190734863,0.5357142686843872
Centralized DQN,46,16,343.3500026464462,12,12,4.809999942779541,0.761904776096344
Centralized DQN,47,17,404.6499979496002,4,8,4.809999942779541,0.6071428656578064
Centralized DQN,48,15,296.2999974489212,18,12,3.819999933242798,0.625
Centralized DQN,49,14,264.1499972343445,8,5,4.550000190734863,0.48275861144065857
Centralized DQN,50,15,288.1000008583069,12,10,4.639999866485596,0.5357142686843872
Centralized DQN,51,16,341.2499942779541,8,7,4.610000133514404,0.5714285969734192
Centralized DQN,52,14,159.44999313354492,24,9,4.389999866485596,0.4000000059604645
Centralized DQN,53,17,415.7000000476837,7,8,4.239999771118164,0.7083333134651184
Centralized DQN,54,14,218.14999437332153,21,7,3.7899999618530273,0.5600000023841858
Centralized DQN,55,17,408.30000698566437,5,11,4.400000095367432,0.6538461446762085
Centralized DQN,56,16,333.05000615119934,10,8,4.510000228881836,0.5925925970077515
Centralized DQN,57,17,347.04999256134033,9,13,4.989999771118164,0.5
Centralized DQN,58,17,367.99999260902405,5,6,5.71999979019165,0.6296296119689941
Centralized DQN,59,14,190.0999879837036,24,11,5.079999923706055,0.5384615659713745
Centralized DQN,60,18,406.4499981403351,1,5,5.070000171661377,0.5806451439857483
Centralized DQN,61,18,469.85000133514404,0,8,5.190000057220459,0.7200000286102295
Centralized DQN,62,17,438.3499939441681,6,6,4.769999980926514,0.8947368264198303
Centralized DQN,63,16,290.3000087738037,12,5,4.440000057220459,0.5333333611488342
Centralized DQN,64,17,390.7499985694885,2,8,5.289999961853027,0.5483871102333069
Centralized DQN,65,15,304.6500002145767,15,10,3.75,0.7142857313156128
Centralized DQN,66,17,414.6500118970871,5,8,4.769999980926514,0.6800000071525574
Centralized DQN,67,15,269.69999647140503,18,12,4.0,0.6000000238418579
Centralized DQN,68,16,343.05000281333923,6,9,5.269999980926514,0.6399999856948853
Centralized DQN,69,18,447.3499970436096,0,2,4.710000038146973,0.5625
Centralized DQN,70,13,157.3499962091446,21,11,6.989999771118164,0.6842105388641357
Centralized DQN,71,16,274.84999537467957,13,11,4.929999828338623,0.5161290168762207
Centralized DQN,72,17,426.34999334812164,6,11,4.670000076293945,0.8095238208770752
Centralized DQN,73,17,400.3000020980835,8,9,4.860000133514404,0.7727272510528564
Centralized DQN,74,18,425.45000863075256,1,6,5.329999923706055,0.6206896305084229
Centralized DQN,75,18,401.4499981403351,2,12,6.25,0.6000000238418579
Centralized DQN,76,18,427.2500009536743,2,12,4.849999904632568,0.6000000238418579
Centralized DQN,77,14,219.9500026702881,23,6,3.5299999713897705,0.48275861144065857
Centralized DQN,78,17,406.50000059604645,4,10,5.360000133514404,0.6071428656578064
Centralized DQN,79,17,403.30000245571136,7,9,5.099999904632568,0.6538461446762085
Centralized DQN,80,14,226.90000128746033,16,13,4.760000228881836,0.5
Centralized DQN,81,17,404.49999833106995,3,7,4.639999866485596,0.5666666626930237
Centralized DQN,82,15,274.1500036716461,16,11,4.429999828338623,0.5769230723381042
Centralized DQN,83,16,343.50000858306885,8,9,4.860000133514404,0.5925925970077515
Centralized DQN,84,15,268.950012922287,19,5,3.75,0.5
Centralized DQN,85,16,366.80000829696655,8,5,4.360000133514404,0.6153846383094788
Centralized DQN,86,17,425.2500091791153,5,8,5.050000190734863,0.9444444179534912
Centralized DQN,87,18,406.4999997615814,1,12,5.679999828338623,0.5454545617103577
Centralized DQN,88,16,345.75000858306885,9,7,4.369999885559082,0.6399999856948853
Centralized DQN,89,16,344.2499933242798,6,3,5.389999866485596,0.5714285969734192
Centralized DQN,90,13,181.54999613761902,16,10,5.309999942779541,0.5199999809265137
Centralized DQN,91,13,138.35000586509705,28,10,3.8299999237060547,0.4193548262119293
Centralized DQN,92,16,365.15000903606415,10,5,4.769999980926514,0.761904776096344
Centralized DQN,93,18,427.99999618530273,1,10,5.619999885559082,0.6206896305084229
Centralized DQN,94,15,231.4000051021576,15,7,6.039999961853027,0.5555555820465088
Centralized DQN,95,14,158.55000138282776,22,14,5.110000133514404,0.46666666865348816
Centralized DQN,96,17,400.6999943256378,4,10,5.239999771118164,0.7083333134651184
Centralized DQN,97,12,56.00000238418579,33,9,4.260000228881836,0.4000000059604645
Centralized DQN,98,14,193.8500006198883,20,9,4.170000076293945,0.5
Centralized DQN,99,17,412.2500020265579,3,8,5.110000133514404,0.6800000071525574
Multi-Agent IQL,0,67,1278.4,27,6,4.77,1.0
Multi-Agent IQL,1,50,693.4999999999998,48,9,5.4,1.0
Multi-Agent IQL,2,63,1175.2000000000003,34,5,4.06,1.0
Multi-Agent IQL,3,54,793.0999999999997,46,9,5.67,1.0
Multi-Agent IQL,4,56,968.2000000000008,30,9,4.01,1.0
Multi-Agent IQL,5,59,1078.900000000001,33,7,3.95,1.0
Multi-Agent IQL,6,50,750.2000000000005,48,10,4.2,1.0
Multi-Agent IQL,7,53,724.5999999999997,59,9,4.84,1.0
Multi-Agent IQL,8,48,550.6999999999999,52,13,7.09,1.0
Multi-Agent IQL,9,66,1320.6000000000015,22,5,3.57,1.0
Multi-Agent IQL,10,52,787.9000000000007,50,9,4.8,1.0
Multi-Agent IQL,11,44,401.2000000000001,60,10,7.41,1.0
Multi-Agent IQL,12,63,1105.5000000000011,29,5,5.18,1.0
Multi-Agent IQL,13,61,1114.100000000001,31,9,4.49,1.0
Multi-Agent IQL,14,37,190.79999999999984,60,9,7.92,1.0
Multi-Agent IQL,15,58,979.4000000000009,39,11,4.79,1.0
Multi-Agent IQL,16,36,190.79999999999973,76,15,4.63,1.0
Multi-Agent IQL,17,52,761.6999999999999,59,6,3.4,1.0
Multi-Agent IQL,18,46,554.1999999999998,55,11,5.31,1.0
